id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
143694,1581736103000,1581736103000,,1,,54,西藏自治区,西藏,,0,1,0,1,0,,0,zhangjing1,540000
143670,1581736103000,1581736103000,确诊 2 例,1,,67,澳门,澳门,,7,10,0,3,0,,23,zhangjing1,820000
143679,1581736103000,1581736103000,,1,,63,青海省,青海,,7,18,0,11,0,,40,zhangjing1,630000
143665,1581736103000,1581736103000,确诊 1 例,1,,68,台湾,台湾,,17,18,0,1,0,,27,zhangjing1,710000
143659,1581736103000,1581736103000,确诊 1 例,1,,64,宁夏回族自治区,宁夏,,43,70,0,27,0,,31,zhangjing1,640000
143677,1581736103000,1581736103000,确诊 2 例,1,,62,甘肃省,甘肃,,49,90,0,39,2,,25,zhangjing1,620000
143666,1581736103000,1581736103000,确诊 2 例 疑似 65 例,1,,66,香港,香港,,54,56,0,1,1,,21,zhangjing1,810000
143660,1581736103000,1581736103000,确诊 1 例,1,,22,吉林省,吉林,,62,88,0,25,1,,29,zhangjing1,220000
143676,1581736103000,1581736103000,疑似 1 例,1,,15,内蒙古自治区,内蒙古,,62,68,0,6,0,,32,zhangjing1,150000
143678,1581736103000,1581736103000,确诊 2 例 ,1,,65,新疆维吾尔自治区,新疆,,63,70,0,6,1,,24,zhangjing1,650000
143662,1581736103000,1581736103000,确诊 4 例,1,,12,天津市,天津,,86,121,0,32,3,,16,zhangjing1,120000
143669,1581736103000,1581736103000,确诊 3 例,1,,21,辽宁省,辽宁,,89,119,0,29,1,,20,zhangjing1,210000
143671,1581736103000,1581736103000,确诊 1 例,1,,14,山西省,山西,,89,127,0,38,0,,28,zhangjing1,140000
143656,1581736103000,1581736103000,确诊 3 例,1,,52,贵州省,贵州,,109,143,0,33,1,,19,zhangjing1,520000
143658,1581736103000,1581736103000,确诊 5 例，疑似 32 例,1,,46,海南省,海南,,120,162,0,38,4,,15,zhangjing1,460000
143651,1581736103000,1581736103000,确诊 2 例,1,,53,云南省,云南,,126,162,0,36,0,,26,zhangjing1,530000
143675,1581736103000,1581736103000,确诊 5 例 疑似 1 例,1,,61,陕西省,陕西,,179,232,0,53,0,,18,zhangjing1,610000
143653,1581736103000,1581736103000,确诊 5 例,1,,45,广西壮族自治区,广西,,193,235,0,40,2,,11,zhangjing1,450000
143652,1581736103000,1581736103000,确诊 16 例，疑似 22 例,1,,31,上海市,上海,,201,326,0,124,1,待明确地区治愈 28 例，治愈数据统一归属上海市公卫临床中心，暂无具体分区,5,zhangjing1,310000
143673,1581736103000,1581736103000,确诊 1 例，死亡 1 例,1,,13,河北省,河北,,202,291,0,86,3,,30,zhangjing1,130000
143672,1581736103000,1581736103000,确诊 5 例 疑似 2 例,1,,35,福建省,福建,,219,285,0,66,0,,12,zhangjing1,350000
143648,1581736103000,1581736103000,确诊 22 例 ,1,,11,北京市,北京,,289,372,0,80,3,,4,zhangjing1,110000
143650,1581736103000,1581736103000,确诊 8 例，疑似 2 例,1,,51,四川省,四川,,353,470,0,116,1,,9,zhangjing1,510000
143667,1581736103000,1581736103000,确诊 2 例,1,,23,黑龙江省,黑龙江,,366,425,0,48,11,,22,zhangjing1,230000
143664,1581736103000,1581736103000,确诊 9 例,1,,50,重庆市,重庆,,380,537,0,152,5,,8,zhangjing1,500000
143654,1581736103000,1581736103000,确诊 6 例， 疑似 2 例,1,,37,山东省,山东,,389,530,0,139,2,,10,zhangjing1,370000
143674,1581736103000,1581736103000,确诊 5 例,1,,32,江苏省,江苏,,444,604,0,160,0,,13,zhangjing1,320000
143668,1581736103000,1581736103000,确诊 24 例,1,,43,湖南省,湖南,,610,1001,0,389,2,,6,zhangjing1,430000
143661,1581736103000,1581736103000,确诊 7 例,1,,36,江西省,江西,,702,913,0,210,1,,17,zhangjing1,360000
143657,1581736103000,1581736103000,确诊 9 例，疑似 4 例,1,,34,安徽省,安徽,,746,950,0,198,6,,7,zhangjing1,340000
143655,1581736103000,1581736103000,确诊 27 例,1,,33,浙江省,浙江,,753,1162,0,409,0,,3,zhangjing1,330000
143663,1581736103000,1581736103000,确诊 5 例,1,,41,河南省,河南,,843,1212,0,356,13,参考卫健委统计口径，部分县区与地级市合并,14,zhangjing1,410000
143649,1581736103000,1581736103000,确诊 32 例，疑似 1 例，治愈 2 例,1,,44,广东省,广东,,906,1294,0,386,2,,2,zhangjing1,440000
143647,1581736103000,1581736103000,确诊 444 例，疑似病例数待确认，治愈 28 例，死亡 17 例,1,,42,湖北省,湖北,,48175,54406,0,4774,1457,,1,zhangjing1,420000
