id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode
704541,1583116643000,1583116643000,,1,,63,青海省,青海,,0,18,0,18,0,,40,shenjia,630000,
704556,1583116643000,1583116643000,,1,,54,西藏自治区,西藏,,0,1,0,1,0,,0,shenjia,540000,
704532,1583116643000,1583116643000,确诊 2 例,1,,67,澳门,澳门,,2,10,0,8,0,,23,shenjia,820000,
704521,1583116643000,1583116643000,确诊 1 例,1,,64,宁夏回族自治区,宁夏,,5,74,0,69,0,,31,shenjia,640000,
704539,1583116643000,1583116643000,确诊 2 例,1,,62,甘肃省,甘肃,,5,91,0,84,2,部分治愈和死亡病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,25,shenjia,620000,
704513,1583116643000,1583116643000,确诊 2 例,1,,53,云南省,云南,,9,174,0,163,2,,26,shenjia,530000,
704540,1583116643000,1583116643000,确诊 2 例 ,1,,65,新疆维吾尔自治区,新疆,,9,76,0,64,3,,24,shenjia,650000,
704520,1583116643000,1583116643000,确诊 5 例，疑似 32 例,1,,46,海南省,海南,,12,168,0,151,5,,15,shenjia,460000,
704522,1583116643000,1583116643000,确诊 1 例,1,,22,吉林省,吉林,,14,93,0,78,1,,29,shenjia,220000,
704533,1583116643000,1583116643000,确诊 1 例,1,,14,山西省,山西,,17,133,0,116,0,,28,shenjia,140000,
704531,1583116643000,1583116643000,确诊 3 例,1,,21,辽宁省,辽宁,,18,122,0,103,1,部分治愈病例尚未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,20,shenjia,210000,
704535,1583116643000,1583116643000,确诊 1 例，死亡 1 例,1,,13,河北省,河北,,18,318,0,294,6,,30,shenjia,130000,
704524,1583116643000,1583116643000,确诊 4 例,1,,12,天津市,天津,,22,136,0,111,3,,16,shenjia,120000,
704538,1583116643000,1583116643000,疑似 1 例,1,,15,内蒙古自治区,内蒙古,,23,75,0,52,0,,32,shenjia,150000,
704527,1583116643000,1583116643000,确诊 1 例,1,,68,台湾,台湾,,27,40,0,12,1,,27,shenjia,710000,
704518,1583116643000,1583116643000,确诊 3 例,1,,52,贵州省,贵州,,30,146,0,114,2,,19,shenjia,520000,
704537,1583116643000,1583116643000,确诊 5 例 疑似 1 例,1,,61,陕西省,陕西,,35,245,0,209,1,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,18,shenjia,610000,
704514,1583116643000,1583116643000,确诊 16 例，疑似 22 例,1,,31,上海市,上海,,44,337,0,290,3,部分死亡病例省级卫健委未明确市区归属。因此上海市现存确诊≠下辖分区现存确诊之和。,5,shenjia,310000,
704525,1583116643000,1583116643000,确诊 5 例,1,,41,河南省,河南,,45,1272,0,1205,22,部分治愈和死亡病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,14,shenjia,410000,
704534,1583116643000,1583116643000,确诊 5 例 疑似 2 例,1,,35,福建省,福建,,48,296,0,247,1,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,12,shenjia,350000,
704528,1583116643000,1583116643000,确诊 2 例 疑似 65 例,1,,66,香港,香港,,60,98,0,36,2,,21,shenjia,810000,
704515,1583116643000,1583116643000,确诊 5 例,1,,45,广西壮族自治区,广西,,62,252,0,188,2,,11,shenjia,450000,
704523,1583116643000,1583116643000,确诊 7 例,1,,36,江西省,江西,,84,935,0,850,1,,17,shenjia,360000,
704536,1583116643000,1583116643000,确诊 5 例,1,,32,江苏省,江苏,,95,631,0,536,0,,13,shenjia,320000,
704519,1583116643000,1583116643000,确诊 9 例，疑似 4 例,1,,34,安徽省,安徽,,96,990,0,888,6,,7,shenjia,340000,
704529,1583116643000,1583116643000,确诊 2 例,1,,23,黑龙江省,黑龙江,,117,480,0,350,13,,22,shenjia,230000,
704526,1583116643000,1583116643000,确诊 9 例,1,,50,重庆市,重庆,,120,576,0,450,6,,8,shenjia,500000,
704510,1583116643000,1583116643000,确诊 22 例 ,1,,11,北京市,北京,,124,414,0,282,8,部分治愈和死亡病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,4,shenjia,110000,
704530,1583116643000,1583116643000,确诊 24 例,1,,43,湖南省,湖南,,138,1018,0,876,4,,6,shenjia,430000,
704517,1583116643000,1583116643000,确诊 27 例,1,,33,浙江省,浙江,,155,1206,0,1050,1,,3,shenjia,330000,
704512,1583116643000,1583116643000,确诊 8 例，疑似 2 例,1,,51,四川省,四川,,157,538,0,378,3,,9,shenjia,510000,
704516,1583116643000,1583116643000,确诊 6 例， 疑似 2 例,1,,37,山东省,山东,,297,758,0,455,6,,10,shenjia,370000,
704511,1583116643000,1583116643000,确诊 32 例，疑似 1 例，治愈 2 例,1,,44,广东省,广东,,309,1350,0,1034,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,2,shenjia,440000,
704509,1583116643000,1583116643000,确诊 444 例，疑似病例数待确认，治愈 28 例，死亡 17 例,1,,42,湖北省,湖北,,30543,67103,0,33757,2803,,1,shenjia,420000,
