id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
503565,1582604075000,1582604075000,,1,,63,青海省,青海,,0,18,0,18,0,,40,zhangjing1,630000
503580,1582604075000,1582604075000,,1,,54,西藏自治区,西藏,,0,1,0,1,0,,0,zhangjing1,540000
503556,1582604075000,1582604075000,确诊 2 例,1,,67,澳门,澳门,,4,10,0,6,0,,23,zhangjing1,820000
503563,1582604075000,1582604075000,确诊 2 例,1,,62,甘肃省,甘肃,,9,91,0,80,2,,25,zhangjing1,620000
503545,1582604075000,1582604075000,确诊 1 例,1,,64,宁夏回族自治区,宁夏,,10,71,0,61,0,,31,zhangjing1,640000
503551,1582604075000,1582604075000,确诊 1 例,1,,68,台湾,台湾,,24,30,0,5,1,,27,zhangjing1,710000
503546,1582604075000,1582604075000,确诊 1 例,1,,22,吉林省,吉林,,32,93,0,60,1,,29,zhangjing1,220000
503555,1582604075000,1582604075000,确诊 3 例,1,,21,辽宁省,辽宁,,37,121,0,83,1,,20,zhangjing1,210000
503557,1582604075000,1582604075000,确诊 1 例,1,,14,山西省,山西,,39,133,0,94,0,,28,zhangjing1,140000
503542,1582604075000,1582604075000,确诊 3 例,1,,52,贵州省,贵州,,41,146,0,103,2,,19,zhangjing1,520000
503544,1582604075000,1582604075000,确诊 5 例，疑似 32 例,1,,46,海南省,海南,,41,168,0,122,5,,15,zhangjing1,460000
503562,1582604075000,1582604075000,疑似 1 例,1,,15,内蒙古自治区,内蒙古,,41,75,0,34,0,,32,zhangjing1,150000
503564,1582604075000,1582604075000,确诊 2 例 ,1,,65,新疆维吾尔自治区,新疆,,44,76,0,30,2,,24,zhangjing1,650000
503548,1582604075000,1582604075000,确诊 4 例,1,,12,天津市,天津,,45,135,0,87,3,,16,zhangjing1,120000
503537,1582604075000,1582604075000,确诊 2 例,1,,53,云南省,云南,,48,174,0,124,2,,26,zhangjing1,530000
503552,1582604075000,1582604075000,确诊 2 例 疑似 65 例,1,,66,香港,香港,,60,81,0,19,2,,21,zhangjing1,810000
503538,1582604075000,1582604075000,确诊 16 例，疑似 22 例,1,,31,上海市,上海,,64,335,0,268,3,未知治愈数据统一归属上海市公卫临床中心，暂无具体分区,5,zhangjing1,310000
503559,1582604075000,1582604075000,确诊 1 例，死亡 1 例,1,,13,河北省,河北,,64,311,0,241,6,,30,zhangjing1,130000
503561,1582604075000,1582604075000,确诊 5 例 疑似 1 例,1,,61,陕西省,陕西,,66,245,0,178,1,,18,zhangjing1,610000
503558,1582604075000,1582604075000,确诊 5 例 疑似 2 例,1,,35,福建省,福建,,100,294,0,193,1,,12,zhangjing1,350000
503539,1582604075000,1582604075000,确诊 5 例,1,,45,广西壮族自治区,广西,,119,252,0,131,2,,11,zhangjing1,450000
503560,1582604075000,1582604075000,确诊 5 例,1,,32,江苏省,江苏,,173,631,0,458,0,,13,zhangjing1,320000
503534,1582604075000,1582604075000,确诊 22 例 ,1,,11,北京市,北京,,181,400,0,215,4,,4,zhangjing1,110000
503550,1582604075000,1582604075000,确诊 9 例,1,,50,重庆市,重庆,,221,576,0,349,6,,8,zhangjing1,500000
503553,1582604075000,1582604075000,确诊 2 例,1,,23,黑龙江省,黑龙江,,227,480,0,241,12,,22,zhangjing1,230000
503536,1582604075000,1582604075000,确诊 8 例，疑似 2 例,1,,51,四川省,四川,,245,529,0,281,3,,9,zhangjing1,510000
503547,1582604075000,1582604075000,确诊 7 例,1,,36,江西省,江西,,251,934,0,682,1,,17,zhangjing1,360000
503554,1582604075000,1582604075000,确诊 24 例,1,,43,湖南省,湖南,,260,1016,0,752,4,,6,zhangjing1,430000
503549,1582604075000,1582604075000,确诊 5 例,1,,41,河南省,河南,,263,1271,0,989,19,参考卫健委统计口径，部分县区与地级市合并,14,zhangjing1,410000
503543,1582604075000,1582604075000,确诊 9 例，疑似 4 例,1,,34,安徽省,安徽,,275,989,0,708,6,,7,zhangjing1,340000
503540,1582604075000,1582604075000,确诊 6 例， 疑似 2 例,1,,37,山东省,山东,,406,755,0,343,6,,10,zhangjing1,370000
503541,1582604075000,1582604075000,确诊 27 例,1,,33,浙江省,浙江,,410,1205,0,794,1,,3,zhangjing1,330000
503535,1582604075000,1582604075000,确诊 32 例，疑似 1 例，治愈 2 例,1,,44,广东省,广东,,533,1347,0,807,7,,2,zhangjing1,440000
503533,1582604075000,1582604075000,确诊 444 例，疑似病例数待确认，治愈 28 例，死亡 17 例,1,,42,湖北省,湖北,,43346,64786,0,18877,2563,,1,zhangjing1,420000
